Frequency,Curl,location
1.0,Circuit Park Zandvoort,Melbourne
1.0,Buddh International Circuit,Kuala Lumpur
1.0,Losail International Circuit,Sakhir
1.0,Autodromo Internazionale del Mugello,Montmeló
0.75,Circuit Paul Ricard,Istanbul
0.6666666666666666,Circuit Gilles Villeneuve,Monte-Carlo
0.6666666666666666,Autódromo Juan y Oscar Gálvez,Montreal
0.6666666666666666,Indianapolis Motor Speedway,Magny Cours
0.65,Autódromo José Carlos Pace,Silverstone
0.6428571428571429,Yas Marina Circuit,Hockenheim
0.631578947368421,Circuit de Barcelona-Catalunya,Budapest
0.6153846153846154,Marina Bay Street Circuit,Valencia
0.6,Suzuka Circuit,Spa
0.6,Valencia Street Circuit,Monza
0.5882352941176471,Circuit de Spa-Francorchamps,Marina Bay
0.5882352941176471,Autodromo Nazionale di Monza,Oyama
0.5,Autódromo Internacional do Algarve,Shanghai
0.5,Red Bull Ring,São Paulo
0.5,Circuit of the Americas,Indianapolis
0.5,Jeddah Corniche Circuit,Nürburg
0.5,Shanghai International Circuit,Imola
0.5,Fuji Speedway,Suzuka
0.5,Hockenheimring,Abu Dhabi
0.5,Circuit de Nevers Magny-Cours,Buenos Aires
0.5,Circuit de Monaco,Mexico City
0.5,Istanbul Park,Le Castellet
0.42857142857142855,Autódromo Hermanos Rodríguez,Yeongam County
0.42857142857142855,Silverstone Circuit,Zandvoort
0.38461538461538464,Sepang International Circuit,Uttar Pradesh
0.35294117647058826,Bahrain International Circuit,Austin
0.35,Albert Park Grand Prix Circuit,Spielberg
0.3333333333333333,Baku City Circuit,Sochi
0.29411764705882354,Hungaroring,Baku
0.25,Autodromo Enzo e Dino Ferrari,Portimão
0.25,Korean International Circuit,Mugello
0.25,Sochi Autodrom,Jeddah
0.14285714285714285,Nürburgring,Al Daayen
0.0,Miami International Autodrome,Miami
